cic_id,port,arrive_state,arrive_month
4732257,SFR,CA,4
4537062,LOS,CA,4
1408683,DAL,TX,4
5500240,LOS,CA,4
5278774,SEA,NY,4
696029,NYC,CT,4
2735489,PSP,CA,4
4319371,LOS,CA,4
1216269,CHI,NC,4
2938927,NYC,FL,4
2737342,WPB,HI,4
4098212,SFR,CA,4
5074129,NEW,IN,4
4538779,LOS,NJ,4
5500649,CHI,IL,4
3891814,LOS,NY,4
4321597,SFR,CA,4
2038184,SFR,CA,4
4909999,SFR,CA,4
2933588,FMY,CA,4
1036934,ORL,IL,4
5273693,DAL,TX,4
499578,SFR,CA,4
2734662,DAL,LA,4
867234,LOS,CA,4
4903433,MIA,TX,4
289649,DET,GA,4
67523,HOU,TX,4
4729596,VCV,CA,4
3162474,LOS,CA,4
1037028,ATL,NV,4
1214788,POO,NC,4
1632631,LOS,CA,4
1215382,PHO,CA,4
2933080,MIA,CA,4
2362315,DAL,TX,4
2546113,PHO,IL,4
4541593,NEW,TX,4
5743519,NYC,CA,4
1211380,LOS,CA,4
3535501,NEW,PA,4
692088,SEA,WA,4
499823,STR,CA,4
5746779,PHI,PA,4
1407986,SFR,CA,4
232708,NYC,NY,4
5020169,NYC,NY,4
237254,NYC,NY,4
2572618,MIA,FL,4
95870,NYC,IL,4
3554693,BLA,WA,4
4560971,SFR,CA,4
2572103,CHI,FL,4
2568615,CHI,CA,4
2758683,SFR,CA,4
2762951,LOS,CA,4
1870573,MIA,NJ,4
2763068,MIA,FL,4
2956283,HHW,HI,4
91889,CHI,CA,4
4344944,LOS,CA,4
3187040,HOU,FL,4
3869924,NEW,NJ,4
1048108,NYC,TX,4
1636545,SFR,CA,4
3172408,PHR,TX,4
3652711,NYC,NY,4
2369303,SEA,NV,4
2943425,LOS,CA,4
5284360,HHW,HI,4
2368032,SFR,HI,4
4741049,NYC,MA,4
1851628,HHW,HI,4
3542252,HHW,HI,4
4547068,HHW,HI,4
3543377,SEA,DC,4
701007,LOS,CA,4
3172891,SFR,CA,4
4913166,HHW,HI,4
4913292,WAS,VA,4
1636523,SFR,CA,4
5750198,DUB,NY,4
509225,WAS,VA,4
699077,BOS,TX,4
3543194,LOS,SC,4
5285085,NYC,NY,4
5081528,SFR,AL,4
3900131,HHW,HI,4
2369222,SFR,CA,4
3652687,FTL,FL,4
4739992,HHW,HI,4
5081809,BOS,MI,4
5070551,LOS,CA,4
2929149,LVG,NC,4
1840249,SEA,WA,4
5270355,DAL,TX,4
3529728,SEA,WA,4
688605,EPI,WA,4
5492918,PHI,PA,4
687285,NEW,OH,4
2353538,ATL,NJ,4
864073,SFR,CA,4
5488331,NYC,NY,4
61611,NYC,TX,4
3886754,CHI,IL,4
3886516,HOU,TX,4
1400880,NEW,NJ,4
1624057,CHI,CA,4
284782,MIA,FL,4
2195092,NYC,NY,4
1401034,NYC,NY,4
3155905,LOS,UT,4
3530227,NYC,NY,4
4317940,ORL,FL,4
494733,SFR,CA,4
3155478,WAS,DC,4
862818,PHI,IN,4
3888676,LOS,CA,4
5072687,HOU,TX,4
3697368,NYC,NC,4
4899947,LOS,VA,4
5069811,BOS,MA,4
2928372,PHO,NY,4
5270782,NYC,OR,4
3360046,NYC,CT,4
5735642,CHI,GA,4
5731122,NYC,MD,4
1032729,PHI,NJ,4
1435383,BLA,NE,4
2573307,CLM,PR,4
1345422,OGG,VA,4
1347695,CHI,LA,4
1905596,TAM,FL,4
1093165,MIA,FL,4
5133426,LVG,NV,4
